num,author,title,format,year,venue
1,"Aanrooy, Jacques",OFF THE TRACK,novel,1895,
2,"Abbot, Anthony",ABOUT THE MURDER OF THE CIRCUS QUEEN,novel,1932,
3,"Abbot, Anthony",ABOUT THE MURDER OF THE NIGHT CLUB LADY,novel,1931,
4,"Abbot, Anthony",ABOUT THE MURDER OF A STARTLED LADY,novel,1935,
5,"Abbot, Anthony",THE SHUDDERS,novel,1943,
6,"Abbot, Anthony",About the Disappearance of Agatha King,short story,1939,The Mystery Book
7,"Abshire, Richard K., and William R. Clair",GANTS,novel,1987,
8,"Adair, Gilbert",The Giant Rat of Sumatra,short story,1988,The Independent
9,"Adams, Harold",THE MAN WHO MISSED THE PARTY,novel,1989,
10,"Adams, Herbert",BLACK DEATH,novel,1939,
11,"Adams, Herbert",Death OFF the Fairway,novel,1936,
12,"Adams, Herbert",FOUR WINDS,novel,1944,
13,"Adams, Herbert",THE JUDAS KISS,novel,1955,
14,"Adams, Herbert",THE QUEEN'S GATE MYSTERY,novel,1927,
15,"Adams, Herbert",ROGUES FALL OUT,novel,1928,
16,"Adams, Herbert",THE SPECTRE IN BROWN,novel,1953,
17,"Adams, Samuel Hopkins",THE FLYING DEATH,novel,1908,
18,"Adams, Samuel Hopkins",Aunt Minnie and the Accessory After the Fact,short story,1945,Murder for the Millions; Liberty Magazine; Stories of Crime and Detection; EQMM
19,"Adams, Samuel Hopkins",The Flying Death,short story,1903,"The Strand Magazine; McClure's Magazine; EQMM; Ellery Queen's Anthology, 1964 Mid-Year Edition"
20,"Adrian, Jack",The Absolute and Utter Impossibility of the Facts in the Case of the Vanishing of Henning Vok (a.k.a. The Amazing Blitzen) (r.n. Jack Ralph Cole),short story,1991,New Crimes 3
21,"Adrian, Jack",The Phantom Pistol,short story,1989,Felonious Assaults; The Year's Best Mystery & Suspense Stories
22,"Afford, Max",BLOOD ON HIS HANDS!,novel,1936,
23,"Afford, Max",THE DEAD ARE BLIND,novel,1937,
24,"Afford, Max",DEATH'S MANNIKINS,novel,1937,
25,"Afford, Max",FLY BY NIGHT,novel,1942,
26,"Aird, Catherine (Kinn Hamilton McIntosh)",HIS BURIAL TOO,novel,1973,
27,"Aird, Catherine (Kinn Hamilton McIntosh)",Cause and Effect,short story,1990,A Classic English Crime
28,"Aldous, Allan",IT'S MURDER IF YOU SAY SO!,novel,1952,
29,"Aldrich, Thomas Bailey",OUT OF HIS HEAD,novel,1862,
30,"Alexander, David",THE DEATH OF HUMPTY-DUMPTY,novel,1957,
31,"Alexander, Ruth, and Arnold Ridley",THE GHOST TRAIN,novel,1926,
32,"Allan, Luke",BEYOND THE LOCKED DOOR,novel,1938,
33,"Allan, Luke",THE FOURTH DAGGER,novel,1932,
34,"Allen, Clifford",A Lecture on Detection,short story,1973,London Mystery Magazine No. 98
35,"Allen, Clifford",Everybody Hates David Starbuck,short story,1958,Playboy; Ellery Queen's Minimysteries
36,"Allen, Warner",THE DEVIL THAT SLUMBERS,novel,1925,
37,"Allen, Warner",THE UNCOUNTED HOUR,novel,1936,
38,"Allingham, Margery",FLOWERS FOR THE JUDGE,novel,1936,
39,"Allingham, Margery",The Border-Line Case,short story,1937,Mr. Campion: Criminologist; Challenge to the Reader; 101 Years' Entertainment; Rex Stout Mystery Quarterly; MacKill's Mystery Magazine; The Allingham Case-Book; Mr. Campion and Others; Big Book of Locked-Room Mysteries
40,"Allingham, Margery",Family Affair,short story,1960,EQMM; 16thMystery Annual; The Allingham Case-Book
41,"Allingham, Margery",The Neatest Trick of the Month,short story,1959,EQMM; Ellery Queen's 14th Mystery Annual; The Allingham Case-Book
42,"Allingham, Margery",Tall Story,short story,1954,EQMM; The Queen's Awards 9th Series; The Quintessence of Queen; The Allingham Case-Book
43,"Allison, William",A SECRET OF THE SEA,novel,1920,
44,"Alner, James Z.",THE CAPITAL MURDER,novel,1932,
45,"Ames, Mel D.",The Christmas Eve Ghost,short story,1983,MSMM
46,"Ames, Mel D.",A Matter of Observation,short story,1980,MSMM; Amazon
47,"Anderson, Frederick Irving",The Fifth Tube,short story,1914,The Adventures of the Infallible Godahl; Big Book of Locked-Room Mysteries
48,"Anderson, Frederick Irving",The Half-Way House,short story,1922,"The American Magazine; EQMM; EQMM Australia; EQMM Anthology, 1963 Mid-Year Edition; AHMM"
49,"Anderson, Poul",The Martian Crown Jewels,short story,1958,EQMM; The Science-Fictional Sherlock Holmes; Ellery Queen's Anthology #12 1967; All But Impossible!; The Misadventures of Sherlock Holmes; The Realm of the Impossible
50,"Andrews, Charlton",THE BUTTERFLY MURDER,novel,1932,
51,"Andrews, V., and H. Penn",The Mystery of the Sealed Room,short story,1980,U.S. Magico Magazine
52,"Annesley, Maude",A Lost Identity,short story,1915,Nights and Days
53,Anonymous,The Banshee's Cry,short story,1912,Cheer Boys Cheer
54,Anonymous,The Case of the Locked Door,short story,1914,The Boy's Journal
55,Anonymous,The Case of Mrs. Peters,short story,1896,Pearson's Weekly
56,Anonymous,Death at Midnight,short story,1937,The Crime-Book Magazine
57,Anonymous,Death in the Sealed Room,short story,1937,The Crime-Book Magazine
58,"Hawthorne, Julian",The Diamond Widow,short story,1888,The New-York Ledger; Pearson's Weekly
59,"Carroll, Amy",An End to Life,problem story,1983,Scotland Yard Photo Crimes
60,Anonymous,The Flaming Owl,short story,1912,Cheer Boys Cheer
61,"Carroll, Amy",Going for Broke,problem story,1983,Scotland Yard Photo Crimes
62,"Carroll, Amy",Locked Room Mystery,problem story,1983,Scotland Yard Photo Crimes
63,Anonymous,A Mysterious Case,short story,1894,Winter's Magazine
64,Anonymous,The Secret of the Ockfield Attic,short story,1921,The Penny Pictorial Magazine
65,Anonymous,The Strange Death of Anna Maria Sonde,short story,1894,Pearson's Weekly
66,"Carroll, Amy",Theft at a Séance,problem story,1983,Scotland Yard Photo Crimes
67,Anonymous (Dixon Hawke stories),The Case of the Broken Door,short story,1942,
68,Anonymous (Dixon Hawke stories),The Case of the Double Opening,short story,1939,
69,Anonymous (Dixon Hawke stories),The Case of the Dusty Floor,short story,1940,
70,Anonymous (Dixon Hawke stories),The Case of the Eucalyptus Bottle,short story,1949,
71,Anonymous (Dixon Hawke stories),The Case of the Giant's Footprints,short story,1941,
72,Anonymous (Dixon Hawke stories),The Case of the Hollow Spoon,short story,1944,
73,Anonymous (Dixon Hawke stories),The Case of the Kandahar Ruby,short story,1947,
74,Anonymous (Dixon Hawke stories),The Case of the Missing Bishop,short story,1947,
75,Anonymous (Dixon Hawke stories),The Case of the Missing Footprints,short story,1948,
76,Anonymous (Dixon Hawke stories),The Case of the Road of No Return,short story,1942,
77,Anonymous (Dixon Hawke stories),The Case of the Vanishing Tank,short story,1941,
78,Anonymous (Dixon Hawke stories),Death Was Locked In,short story,1953,
79,Anonymous (Dixon Hawke stories),The Iron-Studded Door,short story,1948,
80,Anonymous (Dixon Hawke stories),The Knife from Nowhere,short story,1953,
81,Anonymous (Dixon Hawke stories),A Lesson for a Lady,short story,1953,
82,Anonymous (Dixon Hawke stories),Paper and Pencil Solved the Case,short story,1953,
83,"Anthony, Wilder",DEEP VALLEY,novel,1940,
84,"Antony, Peter (Peter Shaffer; see also Shaffer, A. and P.)",THE WOMAN IN THE WARDROBE,novel,1951,
85,"Antony, Peter (Peter Shaffer; see also Shaffer, A. and P.)",Before and After,short story,1953,London Mystery Magazine No. 16
86,"Antony, Peter (Peter Shaffer; see also Shaffer, A. and P.)",The Drop of a Pin,short story,1974,MSMM
87,"Antony, Peter (Peter Shaffer; see also Shaffer, A. and P.)",The Murder Trap,short story,1967,The Man from U.N.C.L.E. Magazine
88,"Applin, Arthur",THE ACTRESS,novel,1927,
89,"Archer, Robert",DEATH ON THE WATERFRONT,novel,1941,
90,"Arden, William (Dennis Lynds, q.v.)",The Bizarre Case Expert,short story,1970,EQMM; Ellery Queen Masters of Mystery
91,"Armstrong, Anthony",THE POISON TRAIL,novel,1932,
92,"Armstrong, Charlotte",THE DREAM WALKER,novel,1955,
93,"Arthur, Robert",The Adventure of the Single Footprint,short story,1948,EQMM; EQMM Australia; Queen's Awards 3rd Series; Gollancz
94,"Arthur, Robert",The Case of the Murderous Mice,short story,1933,Tower Magazines; The Mysterious Traveller
95,"Arthur, Robert","The 51st Sealed Room, or, The MWA Murder",short story,1951,EQMM; Tantalizing Locked Room Mysteries
96,"Arthur, Robert",The Glass Bridge,short story,1957,AHMM; A Choice of Murders; Alfred Hitchcock's Anthology # 5; Macdonald
97,"Arthur, Robert",The Mystery of the Man Who Evaporated,short story,1963,Alfred Hitchcock's Solve-Them-Yourself Mysteries; Reinhardt
98,"Ashton, Charles",DANCE FOR A DEAD UNCLE,novel,1948,
99,"Ashton, Charles",DEATH GREETS A GUEST,novel,1936,
100,"Ashton, Charles",HERE'S MURDER DONE,novel,1943,
101,"Ashton, Herbert (Jr.)",The Locked Room: A Comedy Mystery in Three Acts,play,1934,
102,"Ashton, Mark",A SILENCE OF BIRDS,novel,1979,
103,"Ashton-Wolfe, H.",The Scented Death,short story,1928,Warped in the Making; Houghton
104,"Ashton-Wolfe, H.",The Suicide Room,short story,1928,Warped in the Making
105,"Asimov, Isaac",THE CAVES OF STEEL,novel,1954,
106,"Asimov, Isaac",THE NAKED SUN,novel,1957,
107,"Asimov, Isaac",The Brazen Locked Room,short story,1956,The Magazine of Fantasy & Science Fiction; Earth Is RoomEnough; All But Impossible!
108,"Asterley, H. C.",TALE OF TWO MURDERS,novel,1925,
109,"Atholl, Justin",THE TRACKLESS THING,novel,1945,
110,"Austin, Hugh",IT COULDN'T BE MURDER,novel,1935,
111,"Austin, Hugh",MURDER IN TRIPLICATE,novel,1935,
112,"Austin, Hugh",MURDER OF A MATRIARCH,novel,1936,
113,"Austin, Hugh",THE UPSIDE DOWN MURDERS,novel,1937,
114,"Aveline, Claude",THE DOUBLE DEATH OF FREDERIC BELOT,novel,1940,
115,"Ayre, Thornton (John Russell Fearn, q.v.)","""The Crimson Rambler"" complete",novel,1947,
116,"Bailey, Seth",The Hand in the Cobbler's Safe,short story,1944,
117,"Baird, Edwin",The Mystery of the Locked Door,short story,1928,Sales Tales; The World's Best One Hundred Detective Stories
118,"Baker, Douglas",Lesson of History,short story,1978,The Evening News
119,"Baker, H. Barton",An Odd Tale,short story,1883,Belgravia Christmas Annual
120,"Baker, Hugh","CARTWRIGHT IS DEAD, SIR!",novel,1936,
121,"Ball, John",Virgil Tibbs and the Fallen Body,short story,1978,EQMM; Detectives A to Z; Ellery Queen's Anthology #45; Bonanza
122,"Ballinger, Bill",THE BODY BEAUTIFUL,novel,1949,
123,"Balmer, Edwin, and Philip Wylie (q.v.)",FIVE FATAL WORDS,novel,1932,
124,"Bankier, William",The Locked Roomette,short story,1990,EQMM
125,"Barber, Alex",THE ROOM WITH NO ESCAPE,novel,1932,
126,"Barker, Elsa",THE COBRA CANDLESTICK,novel,1928,
127,"Barker, Ronald",CLUE FOR MURDER,novel,1962,
128,"Barlow, Vernon",THE GREEN MURDER,novel,1931,
129,"Barr, Mike W.",Double Edge,comic,1989,The Maze Agency No. 6
130,"Barr, Mike W.",The English Channel Mystery,short story,1990,The Maze Agency No. 9
131,"Barr, Stephen",The Locked House,short story,1965,EQMM; Best American Detective Stories of the Year 16th Annual Collection; Best of the Best Detective Stories; Big Book of Locked-Room Mysteries
132,"Barr, Stephen",The Procurator of Justice,short story,1950,EQMM
133,"Barrett, Frank",THE JUSTIFICATION OF ANDREW LEBRUN,novel,1894,
134,"Barrett, Frank",LADY JUDAS,play,1903,
135,"Barrett, Monte",THE PELHAM MURDER CASE,novel,1930,
136,"Barry, Charles",THE SHOT FROM THE DOOR,novel,1934,
137,"Bartlett, E. G.",THE CASE OF THE THIRTEENTH COACH,novel,1958,
138,"Barton, George",The Adventure of the Bolted Door,short story,1918,The Strange Adventures of Bromley Barnes
139,"Baum, L. Frank",The Suicide of Kiaros,short story,1897,"The White Elephant,; Mystery Magazine; EQMM; EQMM UK; EQMM Australia; Death Locked In"
140,"Bayly, A. Eric",THE HOUSE OF STRANGE SECRETS,novel,1899,
141,"Bayly, A. Eric",DEATH BY CLUE,novel,1933,
142,"Beck, K. K.",DEATH IN A DECK CHAIR,novel,1984,
143,"Bellem, Robert Leslie",Homicide Spike,short story,1948,"Hollywood Detective; Dan Turner, Hollywood Detective"
144,"Benedict, Gerald",THE CASE OF THE DEADLY DROPS,novel,1941,
145,"Bendel, Christopher",Golconda's Magic Death,short story,1983,Amazing Stories from the World of Crime
146,"Benét, Stephen Vincent",The Amateur of Crime,short story,1927,The American Magazine; EQMM; Masterpieces of Mystery: The Prizewinners
147,"Bennett, Kem",THE WINK,novel,1951,
148,"Bennett, Rolf",THE WEB,novel,1917,
149,"Benson, E. F.",The Disappearance of Jacob Conifer,short story,1927,The Windsor Magazine; Desirable Residences & Other Stories
150,"Bentley, E. C.",The Ordinary Hairpins,short story,1931,"Great Short Stories of Detection, Mystery and Horror; Second Omnibus of Crime; Trent Intervenes; Knopf; Big Book of Locked-Room Mysteries"
151,"Bentley, E. C.",The Sweet Shot,short story,1939,Trent Intervenes; Detection Medley; Line-Up; 101 Years' Entertainment; Sporting Detective Stories; EQMM Australia; AHMM
152,"Bentley, E. C.",The Unknown Peer,short story,1938,Trent Intervenes; Second Century of Detective Stories; The Delights of Detection
153,"Bentley, E. C.",The Vanishing Lawyer,short story,1931,Trent Intervenes
154,"Bentley, John",BULLETS MAKE HOLES,novel,1944,
155,"Bentley, John",THE LANDOR CASE,novel,1937,
156,"Bentley, John",THE L'ESTRANGE CASE,novel,1935,
157,"Bentley, John",THE WHITNEY CASE,novel,1937,
158,"Berkeley, Anthony (see also Platts, A. Monmouth)",DEATH IN THE HOUSE,novel,1939,
159,"Berkeley, Anthony (see also Platts, A. Monmouth)",THE LAYTON COURT MYSTERY,novel,1925,
160,"Bernede, Arthur",THE HAUNTED HOUSE,novel,1930,
161,"Bernede, Arthur",THE MYSTERY OF THE LOUVRE,novel,1929,
162,"Berrow, Norman",THE BISHOP'S SWORD,novel,1948,
163,"Berrow, Norman","DON'T JUMP, MR. BOLAND!",novel,1954,
164,"Berrow, Norman",THE FOOTPRINTS OF SATAN,novel,1950,
165,"Berrow, Norman",GHOST HOUSE,novel,1940,
166,"Berrow, Norman",IT HOWLS AT NIGHT,novel,1937,
167,"Berrow, Norman",THE SPANIARD'S THUMB,novel,1949,
168,"Berrow, Norman",THE THREE TIERS OF FANTASY,novel,1947,
169,"Bestor, George Clinton",THE POSTAGE STAMP MURDER,novel,1935,
170,"Betteridge, Don",CAST IRON ALIBI,novel,1939,
171,"Bishop, Stacey",DEATH IN THE DARK,novel,1930,
172,"Black, Lionel",THE PENNY MURDERS,novel,1979,
173,"Blackmon, Anita",THERE IS NO RETURN,novel,1938,
174,"Blake, Nicholas",THE CASE OF THE ABOMINABLE SNOWMAN,novel,1941,
175,"Blassingame, Wyatt",The Murder Master,short story,1940,Detective Tales; John Smith Hears Death Walking
176,"Blayn, Hugo (John Russell Fearn, q.v.)",THE FIVE MATCHBOXES,novel,1948,
177,"Blayn, Hugo (John Russell Fearn, q.v.)",FLASHPOINT,novel,1950,
178,"Blayn, Hugo (John Russell Fearn, q.v.)",THE SILVERED CAGE,novel,1955,
179,"Blayn, Hugo (John Russell Fearn, q.v.)",WHAT HAPPENED TO HAMMOND?,novel,1951,
180,"Bliss, Adam",THE CAMPDEN RUBY MURDER,novel,1931,
181,"Blochman, Lawrence G.",Dr. Coffee and the Pardell Case,short story,1972,EQMM
182,"Blochman, Lawrence G.",Murder Behind Schedule,short story,1964,Clues for Doctor Coffee; Young Wife
183,"Blochman, Lawrence G.",Reprieve,short story,1943,Private Detective Stories; The Saint Mystery Magazine; The Locked Room Reader; 8 Doors to Death
184,"Blochman, Lawrence G.",Wrong-Way Tosca,short story,1964,Clues for Doctor Coffee; EQMM
185,"Block, Lawrence",BURGLARS CAN'T BE CHOOSERS,novel,1977,
186,"Blow, Lynton",THE BOURNEWICK MURDERS,novel,1935,
187,"Blyth, Harry",SEXTON BLAKE'S TRIUMPH,novel,1894,The Union Jack No. 15
188,"Bobin, J. W.",The Secret of the Sarcophagus,novelette,1924,The Union Jack
189,"Bodkin, M. McDonnell",Murder by Proxy,short story,1898,"Paul Beck, the Rule of Thumb Detective; Short Stories; Death Locked In; IPL"
190,"Bodkin, M. McDonnell",The Unseen Hand,short story,1908,The Quests of Paul Beck; Little
191,"Bodkin, M. McDonnell",The Vanishing Diamonds,short story,1897,"Pearson's Weekly; EQMM; EQMM Australia; Paul Beck, the Rule of Thumb Detective; MSMM"
192,"Bohle, Edgar",THE MAN WHO DISAPPEARED,novel,1958,
193,"Boileau, Pierre, and Thomas Narcejac",THE TUBE,novel,1960,
194,"Boileau, Pierre, and Thomas Narcejac",The Sleeping Beauty,short story,1959,The Evil Eye
195,"Bonnamy, Francis",The Loaded House,short story,1950,EQMM
196,"Bonney, Joseph",NO MAN'S HAND,novel,1940,
197,"Booth, Charles",SINISTER HOUSE,novel,1926,
198,"Booth, Christopher",DECEIVER'S DOOR,novel,1929,
199,"Boucher, Anthony (see also Holmes, H. H.)",THE CASE OF THE SOLID KEY,novel,1941,
200,"Boucher, Anthony (see also Holmes, H. H.)",The Anomaly of the Empty Man,short story,1952,F&SF; Crooks Tour; Cream of the Crime; Harrap
201,"Boucher, Anthony (see also Holmes, H. H.)",Elsewhen,short story,1948,Murder: Plain and Fanciful; Death Locked In
202,"Boucher, Anthony (see also Holmes, H. H.)",Gandolphus,short story,1960,A Decade of Fantasy & Science Fiction
203,"Boucher, Anthony (see also Holmes, H. H.)",The Smoke-Filled Locked Room,short story,1968,The Locked Room Reader; 8 Doors to Death
204,"Bowen, Joseph",THE MAN WITHOUT A HEAD,novel,1936,
205,"Bowen, Marjorie",The Orford Mystery; Covent Garden 1734,short story,1930,Old Patch's Medley
206,"Bowen, Michael",WASHINGTON DECEASED,novel,1990,
207,"Bowen, Wilfred J. L.",The Bungalow Mystery,short story,1929,Contemporary Short Stories
208,"Brady, Nicholas (see also Turner, John V.)",THE HOUSE OF STRANGE GUESTS,novel,1932,
209,"Braly, David",The Gallowglass,short story,1986,AHMM
210,"Braly, David",The Ghost at Massingham Mansions,short story,1923,"The Eyes of Max Carrados; Great Short Stories of Detection, Mystery and Horror; Best Max Carrados Detective Stories"
211,"Braly, David",The Tragedy at Brookbend Cottage,short story,1914,Max Carrados; 101 Years' Entertainment; EQMM; AHMM; Best Max Carrados Detective Stories
212,"Brand, Christianna",THE CROOKED WREATH,novel,1946,
213,"Brand, Christianna",DEATH OF JEZEBEL,novel,1948,
214,"Brand, Christianna",Murder Game,short story,1968,What Dread Hand; EQMM; Buffet for Unwelcome Guests
215,"Brand, Christianna",The Scapegoat,short story,1970,Brand X; EQMM; Buffet for Unwelcome Guests; The Mammoth Book of Great Detective Stories
216,"Brand, Christianna",Upon Reflection,short story,1977,EQMM; Buffet for Unwelcome Guests
217,"Brandon, Charles",THE PHANTOM MUSKETEER,novel,1929,
218,"Brandon, John G.",THE ONE-MINUTE MURDER,novel,1934,
219,"Brean, Herbert",WILDERS WALK AWAY,novel,1948,
220,"Brean, Herbert",The Man Who Talked with Spirits,short story,1943,Thrilling Detective
221,"Brean, Herbert",Murder Buys a Ticket,short story,1941,Exciting Detective
222,"Brean, Herbert",The House of the Shrill Whispers,short story,1972,EQMM; Hair of the Sleuthhound
223,"Brean, Herbert",The Number 12 Jinx,short story,1978,EQMM; All But Impossible!; Kill the Umpire: The Calls of Ed Gorgon
224,"Brean, Herbert",The Problem of the Vanishing Town,short story,1979,EQMM
225,"Brenn, George",VOICES,novel,1923,
226,"Brennan, Joseph Payne",The Case of the Uncut Corpse,short story,1973,The Casebook of Lucius Leffing
227,"Brennan, Joseph Payne",Fingers of Steel,short story,1970,AHMM; The Casebook of Lucius Leffing
228,"Brennan, Robert",THE TOLEDO DAGGER,novel,1927,
229,"Bretnor, Reginald",A KILLING IN SWORDS,novel,1978,
230,"Brett, Stephen",SOME DIE HARD,novel,1979,
231,"Bridgmont, Leslie",UNBRIEFED MISSION,novel,1953,
232,"Brittain, William",The Impossible Footprint,short story,1974,"AHMM; Death on Arrival; The Mammoth Book of Perfect Crimes and Impossible Mysteries"""
233,"Brittain, William",The Man Who Read John Dickson Carr,short story,1965,EQMM; Ellery Queen's Crime Carousel; The Locked Room Reader; 8 Doors to Death
234,"Brittain, William",Mr. Strang Finds an Angle,short story,1971,EQMM
235,"Brittain, William",Mr. Strang Pulls a Switch,short story,1969,EQMM; Time Bomb and Other Stories of Mystery and Suspense
236,"Brittain, William",Mr. Strang Takes a Field Trip,short story,1968,EQMM; All But Impossible!; TheMammoth Book of Locked-Room Mysteries and Impossible Crimes
237,"Brittain, William",Mr. Strang Unlocks a Door,short story,1981,EQMM
238,"Brock, Alan",MISS HAMBLETT'S GHOST,novel,1946,
239,"Brody, Marc",MURDER IS A MAIDEN'S HANDICAP,novel,1958,
240,"Brooks, Collin",THE GHOST HUNTERS,novel,1928,
241,"Brooks, Collin",THE PHANTOM OF TREGELLIS CASTLE,novel,1917,
242,"Brooks, Collin",The Electric Man,novelette,1924,The Union Jack
243,"Brown, Carter",THE CREATIVE MURDERS,novel,1971,
244,"Brown, Carter",THE LADY IS TRANSPARENT,novel,1962,
245,"Brown, Fredric",DEATH HAS MANY DOORS,novel,1951,
246,"Brown, Fredric",The Case of the Bewildering Bam,short story,1990,The Water-Walker; originally in Feedstuffs magazine
247,"Brown, Fredric",The Case of the Conjurer's Cat,short story,1990,The Water-Walker; originally in Feedstuffs magazine
248,"Brown, Fredric","The Case of the Flying Cow, or How did the Critter Get into the Silo",short story,1990,The Water-Walker; originally in Feedstuffs magazine
249,"Brown, Fredric",The Case of the Haunted Haystack,short story,1990,The Water-Walker; originally in Feedstuffs magazine
250,"Brown, Fredric",The Case of the Refrigerating Windmill,short story,1990,The Water-Walker; originally in Feedstuffs magazine
251,"Brown, Fredric",The Case of the Uncountable Sheep,short story,1990,The Water-Walker; originally in Feedstuffs magazine
252,"Brown, Fredric",The Case of the Wandering Scarecrow,short story,1990,The Water-Walker; originally in Feedstuffs magazine
253,"Brown, Fredric","Ernie Catches Up with Wily Willie, or The Case of the Vanishing Duck",short story,1990,The Water-Walker; originally in Feedstuffs magazine
254,"Brown, Fredric","Ernie, Minister of Peace and Goodness, or The Case of the Multiplying Eggs",short story,1990,The Water-Walker; originally in Feedstuffs magazine
255,"Brown, Fredric","Ernie Stops Shivering, or The Case of the Trackless Tractor",short story,1990,The Water-Walker; originally in Feedstuffs magazine
256,"Brown, Fredric",The Laughing Butcher,short story,1953,Mostly Murder; Boardman; Big Book of Locked-Room Mysteries
257,"Brown, Fredric",Miracle on Vine Street,short story,1941,The Layman's Magazine; The Water-Walker
258,"Brown, Fredric",The Spherical Ghoul,short story,1961,Death Locked In
259,"Brown, Fredric",Whistler's Murder,short story,1946,Street & Smith's Detective Story Annual; The Shaggy Dog and Other Stories; EQMM
260,"Brown, Walter C.",MURDER AT MOCKING HOUSE,novel,1933,
261,"Browne, Douglas G.",THE STOLEN BOAT-TRAIN,novel,1935,
262,"Browne, Douglas G.",WHAT BECKONING GHOST,novel,1947,
263,"Browne, Howard",THIN AIR,novel,1954,
264,"Bruce, Kennedy",THE POISONED FANG,novel,1930,
265,"Bruce, Leo",CASE FOR THREE DETECTIVES,novel,1936,
266,"Bruce, Leo",NOTHING LIKE BLOOD,novel,1962,
267,"Bryant, Lynn S.",An Inside Job,short story,1984,Woman's World
268,"Buchanan, Madeleine",HAUNTED BELLS,novel,1929,
269,"Bude, John",DEATH KNOWS NO CALENDAR,novel,1942,
270,"Bude, John",DEATH ON PAPER,novel,1940,
271,"Bull, Albert E.",THE BRAND OF CAIN,novel,1911,Pearson's Weekly
272,"Bullivant, Cecil H.",Delgray's Alibi,short story,1916,"Yes or No; Garnett Bell, Detective; Wright"
273,Burmar (Richard Marr),THE SMITH SLAYER,novel,1939,
274,"Burnaby, Nigel",THE CLUE OF THE GREEN-EYED GIRL,novel,1935,
275,"Burning, Michael, and Althea Grey",DUSTY DEATH,novel,1949,
276,"Burrage, A. M.",DON'T BREAK THE SEAL,novel,1946,
277,"Burton, Miles (see also Rhode, John)",THE CAT JUMPS,novel,1946,
278,"Burton, Miles (see also Rhode, John)",DEATH LEAVES NO CARD,novel,1939,
279,"Burton, Miles (see also Rhode, John)",TO CATCH A THIEF,novel,1934,
280,"Burton, Miles (see also Rhode, John)",The Last Meeting of the Butlers Club,short story,1980,EQMM; Last Laughs
281,"Cambridge, Ada",At Midnight,novelette,1897,At Midnight and Other Stories; also published in the Ward Lock Copyright Editions series
282,"Cameron, Lou",BEHIND THE SCARLET DOOR,novel,1971,
283,"Camp, Wadsworth",THE ABANDONED ROOM,novel,1917,
284,"Camp, Wadsworth",THE HOUSE OF FEAR,novel,1916,
285,"Campbell, Karen","SUDDENLY, IN THE AIR",novel,1969,
286,"Campbell, Karen",MURDER OF A MUSICIAN,novel,1949,
287,"Carlson, P. M.",MURDER IN THE DOG DAYS,novel,1991,
288,"Carmack, Jesse",THE TELL-TALE CLOCK MYSTERY,novel,1937,
289,"Carmichael, Harry",POST MORTEM,novel,1965,
290,"Carmichael, Harry",PUT OUT THAT STAR,novel,1957,
291,"Carnac, Carol (see also Lorac, E.C.R.)",THE DOUBLE TURN,novel,1956,
292,"Carr, John Dickson (see also Dickson, Carter)",THE ARABIAN NIGHTS MURDER,novel,1936,
293,"Carr, John Dickson (see also Dickson, Carter)",BELOW SUSPICION,novel,1949,
294,"Carr, John Dickson (see also Dickson, Carter)",THE BLACK SPECTACLES,novel,1939,
295,"Carr, John Dickson (see also Dickson, Carter)",THE BLIND BARBER,novel,1934,
296,"Carr, John Dickson (see also Dickson, Carter)",THE BRIDE OF NEWGATE,novel,1950,
297,"Carr, John Dickson (see also Dickson, Carter)",THE BURNING COURT,novel,1937,
298,"Carr, John Dickson (see also Dickson, Carter)",CAPTAIN CUT-THROAT,novel,1955,
299,"Carr, John Dickson (see also Dickson, Carter)",THE CASE OF THE CONSTANT SUICIDES,novel,1941,
300,"Carr, John Dickson (see also Dickson, Carter)",CASTLE SKULL,novel,1931,
301,"Carr, John Dickson (see also Dickson, Carter)",THE CROOKED HINGE,novel,1938,
302,"Carr, John Dickson (see also Dickson, Carter)",DARK OF THE MOON,novel,1967,
303,"Carr, John Dickson (see also Dickson, Carter)",DEADLY HALL,novel,1971,
304,"Carr, John Dickson (see also Dickson, Carter)",THE DEAD MAN'S KNOCK,novel,1958,
305,"Carr, John Dickson (see also Dickson, Carter)",DEATH TURNS THE TABLES,novel,1941,
306,"Carr, John Dickson (see also Dickson, Carter)",DEATH-WATCH,novel,1935,
307,"Carr, John Dickson (see also Dickson, Carter)",THE DEMONIACS,novel,1962,
308,"Carr, John Dickson (see also Dickson, Carter)",THE DEVIL IN VELVET,novel,1951,
309,"Carr, John Dickson (see also Dickson, Carter)",THE EIGHT OF SWORDS,novel,1934,
310,"Carr, John Dickson (see also Dickson, Carter)",THE EMPEROR'S SNUFF-BOX,novel,1942,
311,"Carr, John Dickson (see also Dickson, Carter)","FIRE, BURN!",novel,1957,
312,"Carr, John Dickson (see also Dickson, Carter)",THE FOUR FALSE WEAPONS,novel,1937,
313,"Carr, John Dickson (see also Dickson, Carter)",THE GHOST'S HIGH NOON,novel,1969,
314,"Carr, John Dickson (see also Dickson, Carter)",HAG'S NOOK,novel,1933,
315,"Carr, John Dickson (see also Dickson, Carter)",HE WHO WHISPERS,novel,1946,
316,"Carr, John Dickson (see also Dickson, Carter)",THE HOLLOW MAN,novel,1935,
317,"Carr, John Dickson (see also Dickson, Carter)",THE HOUSE AT SATAN'S ELBOW,novel,1965,
